name,phone,address,website,rating,reviews,place_id,source
Pritzker Law Group,(215) 543-3688,"1521 Locust St #605, Philadelphia, PA 19102, USA",https://www.pritzkerlg.com/,4.5,36,ChIJ7ZWgpZ_HxokR2c7dgNlo-hc,TextSearch(New)+Details(New)
"Law Offices of Spadea & Associates, LLC",(610) 521-0604,"1300 MacDade Boulevard Suite 1, Folsom, PA 19033, USA",http://www.spadealawfirm.com/,4.7,127,ChIJTVmZkr_CxokRc4vrwsDQRYc,TextSearch(New)+Details(New)
"Law Office of Heather L. Turner, LLC",(484) 323-0060,"137 N Narberth Ave, Narberth, PA 19072, USA",http://www.heatherturnerlaw.com/,5,6,ChIJLbtp-6XAxokRtFGP4j3KlKQ,TextSearch(New)+Details(New)
Legalty Title Insurance & Real Estate Services,(888) 534-2589,"90 Cricket Ave, Ardmore, PA 19003, USA",http://legaltyservices.com/,5,105,ChIJTxMvZIjAxokRIBt-wWHHJ4Q,TextSearch(New)+Details(New)
"The Law Office of Samuel Ben-Samuel, P.C.",(215) 254-8690,"298 Levering Mill Rd floor 2, Bala Cynwyd, PA 19004, USA",,5,3,ChIJaQCuEFTHxokRnsrCPZBURO4,TextSearch(New)+Details(New)
"Abramson & Abramson, LLC",(610) 664-5700,"2 Bala Plaza STE 300, Bala Cynwyd, PA 19004, USA",https://theabramsonfirm.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,5,64,ChIJF97_C4XAxokRcoNSjvB93NA,TextSearch(New)+Details(New)
"Baritz KBK Law Group, LLC",(866) 415-6588,"100 S Broad St #1208, Philadelphia, PA 19110, USA",https://www.baritzlaw.com/?npcmp=dir:local:3637400:19110,4,72,ChIJlz8s1CjGxokRvWq-me7andE,TextSearch(New)+Details(New)
"Cooper Family Law, LLC",(215) 814-0395,"1500 John F Kennedy Blvd # 220, Philadelphia, PA 19102, USA",https://cooperfamilylawfirm.com/,4.6,140,ChIJP3Quei_GxokRP7pWRaknNNg,TextSearch(New)+Details(New)
"Law Office of Leo M. Pall, Esq.",(610) 715-3734,"8600 West Chester Pike Suite #103, Upper Darby Township, PA 19082, USA",http://www.upperdarbylawyer.com/,4.3,44,ChIJZx8oYTnBxokRRhvNDbbUwi0,TextSearch(New)+Details(New)
"Klenk Law, LLC",(215) 790-1095,"1 Roberts Ave, Glenside, PA 19038, USA",https://www.klenklaw.com/,5,96,ChIJ-c0HnpexxokROaztnJhsJVM,TextSearch(New)+Details(New)
The Copoulos Firm,(267) 535-9776,"1628 John F Kennedy Blvd #1301, Philadelphia, PA 19103, USA",https://www.philacriminaldefenseattorney.com/,4.6,138,ChIJDZykmS_GxokRc-kXzjWtud4,TextSearch(New)+Details(New)
"Lopes Law - Business Law, Tax, Franchise, & Estate Planning Attorneys",(267) 777-9117,"709 N 2nd St 3rd Floor, Philadelphia, PA 19123, USA",http://www.lopeslawllc.com/,4.7,21,ChIJd4sVHQ3JxokR24ET9t0xxDM,TextSearch(New)+Details(New)
The Law Offices of Christopher W. Dean,(215) 867-4197,"1617 John F Kennedy Blvd Suite 1888, Philadelphia, PA 19103, USA",https://cwdeanlaw.com/,5,12,ChIJTVxWglTHxokRCUU6WYIEYCk,TextSearch(New)+Details(New)
"Law Offices of Robert E. O'Connor, P.C.",(610) 566-1110,"341 W State St, Media, PA 19063, USA",https://www.lawyermediapa.com/,4.9,137,ChIJRa-UWQ_pxokRPHbKxTgU-l8,TextSearch(New)+Details(New)
"Frankel Estate Planning & Elder Law, LLC",(610) 897-8994,"150 N Radnor Chester Rd Suite F-200, Radnor, PA 19087, USA",http://www.frankelestates.com/,5,27,ChIJHav1wvSVxokRPMWaJ4WDNXs,TextSearch(New)+Details(New)
"Bala Law Group, LLC",(610) 624-3390,"One Bala Plaza, 231 St Asaphs Rd #623, Bala Cynwyd, PA 19004, USA",http://www.balalaw.com/,5,3,ChIJY9h84mHHxokRE9H4PeCQNFg,TextSearch(New)+Details(New)
Rubin & Rubin,(215) 564-2672,"1500 John F Kennedy Blvd #1030, Philadelphia, PA 19102, USA",http://mytaxfixer.com/,4.9,66,ChIJATCdEC7GxokR_QCsTxBsfM8,TextSearch(New)+Details(New)
The Law Offices of Kenneth S. Cooper,(610) 608-6185,"45 E City Ave #400, Bala Cynwyd, PA 19004, USA",http://www.philadelphiaspecialeducationattorney.com/,4.9,255,ChIJeV6xCF7HxokRM0UTiQZIjeg,TextSearch(New)+Details(New)
"Estate Planning and Elder Law Offices of Gerhard & Gerhard, P.C.",(215) 885-6785,"815 Greenwood Ave #8, Jenkintown, PA 19046, USA",https://www.paelderlaw.net/,4.9,50,ChIJReWsyAq6xokRKf2QBvsyOQQ,TextSearch(New)+Details(New)
"Holmes Business Law, P.C.",(215) 482-0285,"1515 Market St #1200, Philadelphia, PA 19102, USA",http://www.phillysmallbusinesslawyer.com/,4.8,68,ChIJ-zL-D5W4xokRowxOJ01XbzA,TextSearch(New)+Details(New)
Harper & Paul,(215) 844-4848,"140 Maplewood Ave, Philadelphia, PA 19144, USA",https://www.harperandpaul.com/,4.7,22,ChIJPVADlTe4xokRjUaxlC9fK2M,TextSearch(New)+Details(New)
Soloman Law,(215) 568-9474,"1819 John F Kennedy Blvd # 303, Philadelphia, PA 19103, USA",https://soloman-law.com/,4.5,10,ChIJb0LFDzHGxokRfQwOvZwWrgs,TextSearch(New)+Details(New)
Stoner Law Offices LLC,(267) 314-7506,"1700 Market St #1005, Philadelphia, PA 19103, USA",https://stoner-law.com/pennsylvania/philadelphia/real-estate-lawyer/,4.5,8,ChIJ_QoyklbHxokR6w2ov9iQzh4,TextSearch(New)+Details(New)
The Law Offices of Brian E. Quinn,(215) 545-3338,"1420 Walnut St Suite 1200, Philadelphia, PA 19102, USA",https://www.brianequinndefense.com/?npcmp=dir:local:1999568:19102,4.9,119,ChIJTw5a9y_GxokRSqGf8DgAN_g,TextSearch(New)+Details(New)
"Astor Weiss Kaplan & Mandel, LLP",(215) 790-0100,"One Logan, 130 N 18th St UNIT 1500, Philadelphia, PA 19103, USA",https://astorweiss.com/,4.2,33,ChIJ0-c3YSXGxokRCip_J3WA3fc,TextSearch(New)+Details(New)
Jermaine Harris Law Office,(215) 568-0493,"100 S Broad St # 1523, Philadelphia, PA 19110, USA",,4.3,60,ChIJlz8s1CjGxokRR1g1ah6I7Bc,TextSearch(New)+Details(New)
Gregory J Pagano Law Office,(215) 636-0160,"1315 Walnut St, Philadelphia, PA 19107, USA",http://www.paganolaw.net/,4.8,77,ChIJvav1hS_GxokRyY5moJ3zDnE,TextSearch(New)+Details(New)
Brandywine Estate & Probate Lawyer,(484) 276-5946,"535 N Church St Suite 170, West Chester, PA 19380, USA",http://www.brandywineestateandelderlaw.com/,5,112,ChIJD3drNlyNxokRMbE4Ia0Xemw,TextSearch(New)+Details(New)
"Law Office of W. Keith Williams II, P.C.",(610) 626-3855,"710 1/2 Church Ln, Yeadon, PA 19050, USA",https://www.injuredcallkeith.com/,5,25,ChIJwY3a9VTBxokRTD15lTJFVFY,TextSearch(New)+Details(New)
Gordon & Ashworth PC,(610) 667-4500,"168 Idris Rd, Merion Station, PA 19066, USA",http://gordonashworth.com/,4.6,10,ChIJxwJuvGHHxokRQEdC8P1xI2o,TextSearch(New)+Details(New)
Latoison Law,(610) 999-1439,"8 S Plum St, Media, PA 19063, USA",https://latoisonlaw.com/?utm_source=gmbmedia,4.9,329,ChIJ4aQaJAjpxokRtlKpC0qUaEE,TextSearch(New)+Details(New)
Thompson & Donati Law,(610) 726-0502,"110 W Front St, Media, PA 19063, USA",https://thompsonanddonatilaw.com/?utm_campaign=gmb,4.6,53,ChIJTRQgTQTpxokR4vvkDHC_wVw,TextSearch(New)+Details(New)
Ciarrocchi Law,(610) 502-3300,"104 W Front St, Media, PA 19063, USA",https://www.ciarrocchilaw.com/?utm_source=google&utm_campaign=GMB&utm_content=Media,5,60,ChIJIThk07fpxokRFsLWMvcG_Es,TextSearch(New)+Details(New)
"Gibson & Perkins, PC - Delaware County Lawyers",(610) 557-1977,"100 W 6th St # 204, Media, PA 19063, USA",https://www.gibperk.com/,3.7,6,ChIJ4Wa2PgrpxokRWQec8pyUlP0,TextSearch(New)+Details(New)
Eckell Sparks Attorneys at Law,(610) 565-3701,"300 W State St #300, Media, PA 19063, USA",https://www.eckellsparks.com/?utm_source=GMB+Media&utm_medium=GMB+Media&utm_campaign=GMB+Media,4.6,84,ChIJlQnz3zzpxokRNsUtyT76Rwc,TextSearch(New)+Details(New)
Law Offices of Gordon S. Brown,(610) 662-0103,"25 E 2nd St, Media, PA 19063, USA",https://mediadivorcelawyer.net/,4.5,64,ChIJp9U8JwjpxokRrqP9swU9kj8,TextSearch(New)+Details(New)
Anderson Elder Law,(610) 566-4700,"206 State Rd, Media, PA 19063, USA",http://www.andersonelderlaw.com/,4.3,29,ChIJW9V0FZnpxokRDuh4QBNRc2k,TextSearch(New)+Details(New)
"Law Office Of Elizabeth T. Stefanide, Esquire",(610) 566-8686,"339 W Baltimore Ave, Media, PA 19063, USA",http://www.stefanidelaw.com/,4.4,25,ChIJi8xY96XpxokRDQE_yRAJ8Oo,TextSearch(New)+Details(New)
Falzone & Wyler,(610) 892-8900,"22 E 3rd St, Media, PA 19063, USA",http://www.falzonelaw.com/?npcmp=dir:local:1256838:19063,4.7,27,ChIJwzLq1AnpxokRTnptUNkG-dg,TextSearch(New)+Details(New)
The Norwood Law Center,(610) 400-8700,"508 Chester Pike, Norwood, PA 19074, USA",,2.7,9,ChIJj4WY3__CxokRv1a2U4yJwpI,TextSearch(New)+Details(New)
Jones & Associates Law P.C.,(610) 874-1900,"215 N Olive St Suite 202, Media, PA 19063, USA",https://www.mychesterlawyer.com/,4.3,25,ChIJ1QcAAQnpxokRlWTpv2ZwpaM,TextSearch(New)+Details(New)
Benari Law Group,(610) 566-1006,"1 Veterans Sq. #200, Media, PA 19063, USA",https://benarilaw.com/?utm_source=google&utm_campaign=GMB&utm_content=Media,4.9,400,ChIJzQhWBqjpxokRhyoTYS6KVjM,TextSearch(New)+Details(New)
Law Offices of Stephen Molineux,(610) 534-3276,"227 MacDade Blvd, Darby, PA 19023, USA",http://www.molineuxlaw.com/,4.4,14,ChIJLdTMT-rDxokRzh6uXO_owlg,TextSearch(New)+Details(New)
Dan Doyle Law Group,(610) 904-3756,"21 W 2nd St Suite 100, Media, PA 19063, USA",https://dandoylelaw.com/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Media&utm_id=GBP_Media,5,22,ChIJDQFfRAjpxokR14dZCWPIKq4,TextSearch(New)+Details(New)
Breslin Murphy & Roberts,(610) 876-2529,"3305 Edgmont Ave, Brookhaven, PA 19015, USA",http://www.bmrelderlaw.com/,4.8,52,ChIJDXbX3X7oxokRsQHsYsHfP4Q,TextSearch(New)+Details(New)
"L. Theodore Hoppe, Jr., Esquire - Attorney at Law",(610) 497-3579,"25 W 2nd St Second Floor, Media, PA 19063, USA",http://www.thoppelaw.com/,4.8,20,ChIJHcQRsAjpxokRWNDp7ho--UE,TextSearch(New)+Details(New)
"Nikole Dagessian, Esq.",(610) 801-1697,"8 S Plum St, Media, PA 19063, USA",https://latoisonlaw.com/pennsylvanian-attorney-nikole-dagessian-esq/?utm_source=google&utm_medium=organic&utm_campaign=gmb-nikole-dagessian,5,8,ChIJhwrcUlvpxokRD6MTeXBsxpk,TextSearch(New)+Details(New)
"Gibson & Perkins, PC - Delco Estate Planning",(610) 565-1708,"100 W 6th St # 204, Media, PA 19063, USA",https://www.delcoestateplanning.com/,,,ChIJww-zwMfpxokRCNK4xKO6s_c,TextSearch(New)+Details(New)
"The DeLiberty Law Firm - The Credit Lawyer Daniel A. DeLiberty, Esq.",(610) 353-0322,"2809 West Chester Pike #100, Broomall, PA 19008, USA",http://www.creditlawyers.com/?utm_source=GBP&utm_medium=Organic&utm_campaign=Google+Business+Profile&utm_id=Google+Business+Profile,5,264,ChIJ4zq6_F7qxokRYgxEkvCvZJ4,TextSearch(New)+Details(New)
Resnick Elder Law,(610) 565-0301,"22 State Rd, Media, PA 19063, USA",http://www.resnickelderlaw.com/,5,1,ChIJqfU-e5_pxokRHDoX9NLRUv8,TextSearch(New)+Details(New)
"The Law Offices of Stone & Stone, LLC",(484) 480-3631,"4126 Edgmont Ave, Brookhaven, PA 19015, USA",http://www.stonestonelaw.com/,4.6,11,ChIJ92dgXHjoxokRqXi83pSsbW8,TextSearch(New)+Details(New)
Law Office of Sand Gibbs,(610) 359-1999,"3475 West Chester Pike # 200, Newtown Square, PA 19073, USA",https://www.sandgibbs.com/,5,1,ChIJ7QJe83HrxokR6P17R-E6SZg,TextSearch(New)+Details(New)
Adams Kearney Law,(610) 521-8800,"6 E Hinckley Ave, Ridley Park, PA 19078, USA",https://adamskearneylaw.com/?utm_source=google-local&utm_medium=organic&utm_campaign=3179,4.6,21,ChIJUc3iBr7CxokRSDb-SykYohA,TextSearch(New)+Details(New)
"Law Offices of Daniel J. Siegel, LLC",(610) 446-3457,"66 W Eagle Rd Suite 1, Havertown, PA 19083, USA",http://www.danieljsiegel.com/,5,13,ChIJ1UTQ30jAxokRaRp_luCP1vc,TextSearch(New)+Details(New)
Conan Law Offices,(610) 565-6688,"755 N Monroe St, Media, PA 19063, USA",http://www.conanlawoffices.com/,4.3,10,ChIJtX_uVqDpxokR4cZjD03sP-Y,TextSearch(New)+Details(New)
"Law Offices of Mancini & Kodumal, PLLC",(610) 566-8064,"414 E Baltimore Ave, Media, PA 19063, USA",https://vmancinilaw.com/,4.4,5,ChIJN4vJwKjpxokRGj059JePTow,TextSearch(New)+Details(New)
"Reidenbach & Associates, LLC",(610) 572-7075,"724 W Lancaster Ave #215, Wayne, PA 19087, USA",http://www.reidenbachlaw.com/,5,46,ChIJJbyinAKVxokRLSaHuCr4Epw,TextSearch(New)+Details(New)
"Peak Legal Group, LTD",(610) 580-4689,"31 S High St Ste 200, West Chester, PA 19382, USA",https://peaklegalgroup.com/?utm_source=google-local&utm_medium=organic&utm_campaign=371,5,105,ChIJP8E_tUbxxokRzaiFW09aQjc,TextSearch(New)+Details(New)
The Maroto Law Group,(610) 579-3986,"200 W Front St, Media, PA 19063, USA",http://www.marotolaw.com/,5,3,ChIJzQhWBqjpxokRK1smgsgKjKs,TextSearch(New)+Details(New)
"Giaramita Law Offices, P.C. | The Gun Law Firm",(484) 558-0076,"101 West Chester Pike #1a, Havertown, PA 19083, USA",http://www.glawpa.com/,4.9,141,ChIJuy0ASczpyIkRFpnpy-onFvw,TextSearch(New)+Details(New)
"Frank M Fiore, Attorney At Law",(610) 742-9834,"1112 MacDade Boulevard, Woodlyn, PA 19094, USA",http://www.fmfiorelaw.com/,5,3,ChIJDYgbdqDCxokRLqmGwo7CMXg,TextSearch(New)+Details(New)
Kline Terrance A,(610) 566-3330,"200 E State St # 306, Media, PA 19063, USA",http://taklinelaw.com/,5,2,ChIJbW7aeajpxokRlHjSla1tCWU,TextSearch(New)+Details(New)
"Musi, Mattson, Daubenberger & Clark",(610) 891-8806,"21 W 3rd St, Media, PA 19063, USA",https://mmdlawfirm.com/?utm_source=Google+Business+Profile&utm_medium=Website+URL&utm_campaign=Website+URL,4.2,32,ChIJMZaFtAnpxokR6IaEZGueBXg,TextSearch(New)+Details(New)
William A Bonner Attorney at Law,(610) 566-2703,"101 E Baltimore Ave Box 259, Media, PA 19063, USA",https://williamabonner.com/,4,4,ChIJRR1wmQjpxokRVtBX9-n_F-Q,TextSearch(New)+Details(New)
Tim Broadt & Associates Attorneys at Law,(610) 627-1422,"The 1894 Media Club Building, 116 W Baltimore Ave, Media, PA 19063, USA",http://www.broadtlaw.com/index.php?menuid=33&rnum=180674234,5,2,ChIJ0xon2QXpxokRntdvLOkJ2WA,TextSearch(New)+Details(New)
"Carosella & Associates, P.C.",(610) 431-3300,"120 E State St, Media, PA 19063, USA",http://www.carosella.com/,,,ChIJGxEYswjpxokRFVSONSS2RuE,TextSearch(New)+Details(New)
"Cooper Family Law, LLC | Divorce, Custody & Mediation",(215) 402-5116,"1489 Baltimore Pike Suite 218, Springfield, PA 19064, USA",https://cooperfamilylawfirm.com/areas-served/delaware-county/springfield/,5,5,ChIJoeikFBvpxokRKOA6DeaeimE,TextSearch(New)+Details(New)
Stapleton & Colden,(610) 259-1500,"5248 Township Line Rd, Drexel Hill, PA 19026, USA",http://www.stapletoncolden.com/practice-areas,4.5,2,ChIJMyReQvHBxokRcV2iul_k9dc,TextSearch(New)+Details(New)
Carroll & Karagelian,(610) 892-9800,"15 W Front St, Media, PA 19063, USA",http://www.carrollandkaragelian.com/,5,3,ChIJvZV6bwjpxokRL13lJodPei8,TextSearch(New)+Details(New)
"Cantor & Meyer, P.C.",(610) 566-6164,"25 W 2nd St Suite 101, Media, PA 19063, USA",http://www.cantormeyer.com/,4.6,9,ChIJaYpaugjpxokR7vshBdrkBy4,TextSearch(New)+Details(New)
LaMonaca Law,(610) 892-3877,"341 W State St, Media, PA 19063, USA",https://www.lamonacalaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.7,161,ChIJXwvk9qDpxokRR66sZeHQ7dg,TextSearch(New)+Details(New)
"Woody Law Offices, P. C.",(610) 566-8770,"110 W Front St, Media, PA 19063, USA",http://www.woodylawoffices.com/,4.2,5,ChIJca97WyvpxokR9HU9x4AWaXE,TextSearch(New)+Details(New)
Sadek Bankruptcy Law Offices,(610) 432-3111,"1489 Baltimore Pike #218, Springfield, PA 19064, USA",https://www.sadeklaw.com/locations/delaware-county-bankruptcy-lawyers/,5,58,ChIJpaddIc_pxokRpNIHNCR4CuQ,TextSearch(New)+Details(New)
